file_name,school
1200px-Boston_College_Eagles_logo.svg.png,Boston College
American University-11.png,American University
Amherst-104.png,Amherst
Arizona State-21.png,Arizona State
Auburn-154.png,Auburn
Babson-105.png,Babson
Bates.png,Bates
Baylor-19.png,Baylor
Bentley-106.png,Bentley
Boston University.png,Boston University
Bowdoin-107.png,Bowdoin
Brandeis-108.png,Brandeis
Brown.png,Brown
Bucknell-58.png,Bucknell
CAL.png,CAL
CNU Burgee.png,Christopher Newport
CSU Monterey Bay-136.png,CSU Monterey
CSULB-15.png,CSULB
CSUMB-23.png,CSUMB
Cal Poly.png,Cal Poly
Catholic University-06.png,Catholic University
Citadel.png,Citadel
Clemson Burgee.png,Clemson
Cleveland State-28.png,Cleveland State
Coast Guard-123.png,Coast Guard
Coastal Georgia.png,Coastal Georgia
CofC Burgee.png,College of Charleston
CofC2-01.png,CofC2
Colby-109.png,Colby
Colgate-59.png,Colgate
Columbia Burgee.png,Columbia
Conn College Burgee.png,Conn College
Cornell Burgee.png,Cornell
Dartmouth-110.png,Dartmouth
Drexel.png,Drexel
Duke Burgee-52.png,Duke
Eckerd-01.png,Eckerd
Embry Riddle.png,Embry Riddle
FGCU-05.png,FGCU
FIT-162.png,FIT
FIT2-01.png,FIT2
FSU.png,FSU
Fairfield-111.png,Fairfield
Fordham Burgee.png,Fordham
GVSU-02.png,GVSU
GW Burgee.png,GW
Gannon-09.png,Gannon
Georgetown Burgee.png,Georgetown
Georgia Southern.png,Georgia Southern
Georgia Tech-161.png,Georgia Tech
HWS Burgee.png,HWS
Hamilton-60.png,Hamilton
Hampton-14.png,Hampton
Harvard Burgee-50.png,Harvard
Hillsdale-81.png,Hillsdale
Holy Cross-112.png,Holy Cross
Hope College-82.png,Hope College
IUP-61.png,IUP
Indiana University-83.png,Indiana University
Iowa State-84.png,Iowa State
Jacksonville.png,Jacksonville
John Carroll-85.png,John Carroll
Johnson and Wales-114.png,Johnson and Wales
KP Burgee.png,KP
Lake Forest-86.png,Lake Forest
Lawrence University-87.png,Lawrence University
Loyola Burgee.png,Loyola
Loyola Maryland-08.png,Loyola Maryland
MIT.png,MIT
Maine Maritime-115.png,Maine Maritime
Marquette-88.png,Marquette
Mass Maritime.png,Mass Maritime
McGill-116.png,McGill
Mercyhurst-29.png,Mercyhurst
Miami University-89.png,Miami University
Michigan Burgee.png,Michigan
Michigan State-90.png,Michigan State
Michigan Tech-91.png,Michigan Tech
Middlebury.png,Middlebury
Mitchell College-117.png,Mitchell College
Monmouth-62.png,Monmouth
NC State-163.png,NC State
Northeastern-51.png,Northeastern
Northern Michigan University-152.png,Northern Michigan University
Northwestern-92.png,Northwestern
Notre Dame.png,Notre Dame
OCC-63.png,OCC
ODU-01.png,ODU
Ohio State-97.png,Ohio State
Ohio.png,Ohio
Olin College-118.png,Olin College
Oregon State-16.png,Oregon State
PBAU.png,PBAU
PSU.png,PSU
Penn State Behrend-30.png,Penn State Behrend
Portland State-17.png,Portland State
Princeton.png,Princeton
Providence College-119.png,Providence College
Purdue-96.png,Purdue
Queens-64.png,Queens
RIT-04.png,RIT
RWU.png,RWU
Rollins.png,Rollins
Rutgers-67.png,Rutgers
SBU.png,SBU
SCAD.png,SCAD
SMC(1).png,SMC(1)
SMC.png, st. marys college of maryland
SUNY Maritime-152.png,SUNY Maritime
SVSU-22.png,SVSU
Sacred Heart-120.png,Sacred Heart
Salve.png,Salve
San Diego State U-137.png,San Diego State U
Santa Clara University-138.png,Santa Clara University
St.Olaf College-95.png,St
Stanford.png,Stanford
Stevens.png,Stevens
Syracuse-66.png,Syracuse
TAMCC-25.png,TAMCC
TAMU-153.png,TAMU
TAMUG-147.png,TAMUG
Texas Christian-24.png,Texas Christian
Trinity College-121.png,Trinity College
Tufts-123.png,Tufts
Tulane.png,Tulane
U of British Columbia-133.png,U of British Columbia
U of Central Oklahoma-146.png,U of Central Oklahoma
U of Chicago-94.png,U of Chicago
U of Delaware-05.png,U of Delaware
U of Maine-125.png,U of Maine
U of Mass at Amherst-132.png,U of Mass at Amherst
U of Massachusetts at Boston-131.png,U of Massachusetts at Boston
U of Minnesota-99.png,U of Minnesota
U of New England-130.png,U of New England
U of New Hampshire-129.png,U of New Hampshire
U of Oregon-134.png,U of Oregon
U of St.Thomas-100.png,U of St
U of Toledo-83.png,U of Toledo
U of Victoria-135.png,U of Victoria
U of W Milwaukee-102.png,U of W Milwaukee
U-Florida.png,U
U-Rochester-70.png,U
U-South Carolina-03.png,U
U-South Florida.png,U
U-Tennessee-159.png,U
UC Irvine-139.png,UC Irvine
UC at San Diego-141.png,UC at San Diego
UCF-156.png,UCF
UCLA.png,UCLA
UCSB.png,UCSB
UCSC.png,UCSC
UConn-124.png,UConn
UGA-07.png,UGA
UMBC-71.png,UMBC
UMD-65.png,UMD
UMass Dartmouth.png,UMass Dartmouth
UMiami.png,UMiami
UNC-155.png,UNC
UNCW-157.png,UNCW
UNT-157.png,UNT
UOttawa-72.png,UOttawa
UPenn.png,Universtity of Pennsylvania
UPittsburgh-73.png,UPittsburgh
URI.png,Universtiy of Rhode Island
USC.png,USC
USMA-69.png,USMA
USNA.png,USNA
UT.png,UT
UVA.png,UVA
UVM.png,UVM
UW.png,UW
University at Buffalo-31.png,University at Buffalo
University of Cincinnati-18.png,University of Cincinnati
University of Hawaii-142.png,University of Hawaii
University of Illinois-93.png,University of Illinois
University of Kansas-20.png,University of Kansas
University of Toronto-79.png,University of Toronto
Uof Iowa-99.png,Uof Iowa
UofI Chicago-98.png,UofI Chicago
VT-77.png,Virginia Tech
Vanderbilt-158.png,Vanderbilt
Villanova-78.png,Villanova
WPI-13.png,WPI
Wake Forest-164.png,Wake Forest
Washington College-76.png,Washington College
Washington University-26.png,Washington University
Webb Institute-75.png,Webb Institute
Wellesley College-129.png,Wellesley College
Wentworth Institute-10.png,Wentworth Institute
Wesleyan University-127.png,Wesleyan University
Western Michigan-103.png,Western Michigan
Western Washington.png,Western Washington
William and Mary.png,William and Mary
Williams College-126.png,Williams College
Wisco.png,Wisconsin
Yale.png,Yale
