file_name,school
1200px-Boston_College_Eagles_logo.svg.png,Boston College

Arizona State-21.png,Arizona State
Auburn-154.png,Auburn

Bates.png,Bates
Boston University.png,Boston University
Bowdoin-107.png,Bowdoin College
Brown.png,Brown
CNU Burgee.png,Christopher Newport
Citadel.png,Citadel
Coast Guard-123.png,Coast Guard
CofC Burgee.png,College of Charleston
,
,
,
,
Conn College Burgee.png,Conn College
Cornell Burgee.png,Cornell
Dartmouth-110.png,Dartmouth
Eckerd-01.png,Eckerd
Embry Riddle.png,Embry Riddle
FSU.png,FSU
Fordham Burgee.png,Fordham
GW Burgee.png,GW
Georgetown Burgee.png,Georgetown
HWS Burgee.png,HWS
Harvard Burgee-50.png,Harvard
Jacksonville.png,Jacksonville
KP Burgee.png,KP
MIT.png,Massachusetts Institute of Technology
Miami University-89.png,Miami Universityi
Michigan Burgee.png,Michigan
Michigan State-90.png,Michigan State
NC State-163.png,NC State
Northeastern-51.png,Northeastern
Northwestern-92.png,Northwestern
ODU-01.png,ODU
Princeton.png,Princeton
Purdue-96.png,Purdue
RWU.png,RWU
Rollins.png,Rollins
SMC(1).png,St. Mary's College of Maryland
SUNY Maritime-152.png,SUNY Maritime
Salve.png,Salve
San Diego State U-137.png,San Diego State U
Santa Clara University-138.png,Santa Clara University
Stanford.png,Stanford University
Tufts-123.png,Tufts University
Tulane.png,Tulane University
U of New Hampshire-129.png,U of New Hampshire
U of Oregon-134.png,U of Oregon
U-Florida.png,Flordia
U-South Carolina-03.png,South Carolina
U-South Florida.png,South Flordia
U-Tennessee-159.png,Tennessee
UC Irvine-139.png,UC Irvine
UC at San Diego-141.png,UC at San Diego
UCF-156.png,UCF
UCLA.png,UCLA
UCSB.png,UCSB
UCSC.png,UCSC
UGA-07.png,UGA
UMBC-71.png,UMBC
UMD-65.png,UMD
UMiami.png,University of Miami
UNC-155.png,UNC
UPenn.png,Universtity of Pennsylvania
URI.png,Universtiy of Rhode Island
USMA-69.png,USMA
USNA.png,U. S. Naval Academy
UT.png,UT
UVA.png,UVA
UVM.png,UVM
UW.png,UW
University of Hawaii-142.png,University of Hawaii
Washington College-76.png,Washington College
Webb Institute-75.png,Webb Institute
Wisco.png,Wisconsin
Yale.png,Yale University
