place,school,Points
1,Stanford University,93
2,Yale University,106
3,Harvard University,112
4,Georgetown University,129
5,Dartmouth College,129
6,Brown University,137
7,U. S. Coast Guard Academy,146
8,Tufts University,166
9,Tulane University,171
10,Bowdoin College,178
11,Massachusetts Institute of Technology,185
12,Fordham University,186
13,Boston College,194
14,University of Rhode Island,210
15,University of Pennsylvania,215
16,University of Miami,222
17,St. Mary's College of Maryland,226
18,U. S. Naval Academy,273
